общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Станция метро,Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,URL
29,?,?,17/25,"2,6",2021,Пролетарская,8,32000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,?,1,1,1,1,?,?,Застройщик ИПС,1,Монолитное здание,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3246972189775249409/;
21,?,?,3/5,?,1883,Горьковская,5,47500,1-комнатная квартира,Отделка — евроремонт,совмещённый,?,1,?,1,?,1,1,?,?,?,1,Кирпичное здание,?,?,?,1,8,1,?,1,?,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8897864418620095496/;
15,?,?,1/5,?,1873,Технологический институт,7,30000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,2,1,?,1,36,1,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/9071309503362465537/;
39,18,10,11/26,"2,8",2008,Комендантский проспект,10,33000,1-комнатная квартира,Отделка — евроремонт,раздельный,1,?,1,?,1,1,1,?,1,?,1,Монолитное здание,8,1,1,?,?,?,?,?,1,1,?,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4851322442674181889/;
141,?,?,8/24,"2,8",2003,Пионерская,7,156500,4-комнатная квартира,Отделка — евроремонт,?,1,1,1,1,?,1,1,1,1,?,1,Монолитное здание,12,1,1,1,?,1,1,?,1,?,1,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5773463187366674981/;
25,?,?,10/12,"2,7",2022,Автово,10,33000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,1,Застройщик Петербургская Строительная Компания,1,Кирпично-монолитное здание,?,1,?,1,?,?,?,?,1,?,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5395751353505758977/;
47,21,8,10/12,"2,5",1968,Площадь Мужества,9,43000,2-комнатная квартира,Отделка — требуется ремонт,раздельный,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,1,1,1,1,84,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5226793084419315557/;
14,9,?,2/4,?,1907,Чкаловская,6,27000,квартира-студия,Отделка — евроремонт,?,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,3,?,?,1,?,1,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4471907011169543746/;
"37,7",18,10,20/20,"2,7",2015,Проспект Славы,9,43000,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,1,?,?,1,1,1,1,?,?,Застройщик ЛСР. Недвижимость – Северо-Запад,1,Монолитное здание,2,1,1,?,171,?,?,?,1,1,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2935156859536623360/;
"22,9",20,?,9/18,"2,5",2023,Бухарестская,4,43000,апартаменты-студия,?,?,?,?,1,1,1,1,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3964570399348035097/;
43,?,?,3/7,"2,7",?,Площадь Восстания,10,49000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,1,Застройщик Группа «Эталон»,1,?,37,1,1,1,741,?,?,?,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7949149390550609665/;
"51,4",35,11,2/5,5,1876,Чернышевская,9,90000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,?,1,1,?,?,?,1,Кирпичное здание,1,?,?,1,16,1,1,1,?,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8593723125087316441/;
27,?,?,1/5,"3,1",1854,Достоевская,5,69500,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,?,1,?,1,Кирпичное здание,3,?,?,1,?,1,1,?,?,?,1,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6592327697441274885/;
23,21,?,9/18,"2,5",2023,Бухарестская,4,43000,апартаменты-студия,?,?,?,?,1,1,1,1,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3964570399348958618/;
54,?,?,2/6,?,1903,Василеостровская,4,60000,1-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,6,1,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2630407121964110337/;
70,31,20,4/18,3,2021,Елизаровская,9,85000,2-комнатная квартира,Отделка — евроремонт,совмещённый,1,1,1,1,1,1,1,1,1,Застройщик Группа «Эталон»,1,Кирпично-монолитное здание,?,1,1,?,?,?,?,?,1,?,1,1,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5979529042549404929/;
