общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL,Станция метро
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,URL,0
31,0,0,0.3333333333333333,"3,15",1865,7,39990,0.5,2,2,0,0,1,1,1,1,1,0,0,0.0,1,3,5,0,0,1,35,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/2097501628387558913/;,Чернышевская
59,38,7,0.4,3,1959,4,33000,3.0,1,2,0,1,1,1,1,1,1,0,1,0.0,0,2,3,0,0,1,60,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/4706004378010484737/;,Елизаровская
55,37,9,1.0,"2,65",1994,10,50000,2.0,3,1,0,0,1,1,1,1,1,1,1,0.0,0,2,3,1,1,1,116,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/3470410526671069184/;,Проспект Большевиков
33,0,0,0.6363636363636364,"2,85",2015,6,40000,0.5,2,2,0,1,1,1,1,1,1,0,1,4.0,1,5,12,1,1,0,757,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/2352918181362568960/;,Фрунзенская
"41,3",29,4,0.6,0,1961,6,40000,2.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,4,0,0,1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/6330279923617954764/;,Звёздная
29,0,0,0.75,0,2003,3,98000,0.5,2,2,0,1,1,1,0,1,1,0,1,0.0,1,5,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/6364922392075733018/;,Василеостровская
24,21,0,0.8333333333333334,"2,5",2023,4,42000,0.5,0,0,0,0,1,1,1,1,1,0,1,26.0,1,5,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,https://realty.ya.ru/offer/6225526135977337460/;,Бухарестская
38,0,11,0.7692307692307693,"2,7",2011,10,35000,1.0,0,0,0,0,0,0,0,0,0,0,0,5.0,1,0,5,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/6330279923590903576/;,Парнас
52,0,0,0.2727272727272727,"2,7",2023,6,80000,2.0,2,2,0,1,1,1,0,1,1,0,1,5.0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/7118835491596342327/;,Лиговский Проспект
25,19,0,0.41379310344827586,"2,7",2022,5,35000,0.5,1,2,0,0,1,1,1,1,1,0,0,12.0,1,5,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/5635565878278949376/;,Купчино
56,0,0,0.2,"3,05",1959,5,52500,2.0,2,1,0,1,1,1,0,1,1,0,1,0.0,1,3,4,0,0,1,60,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/723576450968698975/;,Удельная
100,60,10,0.375,"2,8",2003,7,62000,3.0,1,2,1,0,1,1,1,1,1,0,1,0.0,1,5,12,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/1607548260183308544/;,Пионерская
32,0,0,0.75,0,1756,5,46000,0.5,3,2,0,0,1,1,1,1,1,1,1,0.0,1,3,0,0,0,0,36,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/1418412078491393793/;,Сенная Площадь
26,15,6,0.6,0,0,5,50000,1.0,0,2,0,0,0,1,0,1,1,0,0,0.0,1,3,8,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/3236029302325871535/;,Садовая
72,30,12,0.9411764705882353,"2,75",2009,10,70000,2.0,3,2,1,1,1,1,1,1,1,0,0,0.0,1,3,3,1,1,0,547,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/5425694999612174080/;,Приморская
