URL	Характеристики	Детали квартиры
https://realty.ya.ru/offer/4706004378010484737/;	общая (м²): 59; жилая (м²): 38; кухня (м²): 7; этаж: 2/5; потолки (м): 3; год постройки (год): 1959; Станция метро: Елизаровская; Расстояние до метро (мин): 4; Стоимость (рубли): 33000; Тип квартиры:  3-комнатная квартира; отделка: Отделка — косметический ремонт; Санузел: совмещённый; Балкон: 1; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Можно с детьми: 1; тип здания: Панельное здание; число квартир: 60; число подъездов: 3; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/3470410526671069184/;	общая (м²): 55; жилая (м²): 37; кухня (м²): 9; этаж: 10/10; потолки (м): 2,65; год постройки (год): 1994; Станция метро: Проспект Большевиков; Расстояние до метро (мин): 10; Стоимость (рубли): 50000; Тип квартиры:  2-комнатная квартира; отделка: Отделка — дизайнерский ремонт; Санузел: раздельный; Балкон: 1; Вид из окон на улицу: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Посудомойка: 1; Можно с животными: 1; Можно с детьми: 1; тип здания: Панельное здание; число квартир: 116; число подъездов: 3; Лифт: 1; Мусоропровод: 1; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/2352918181362568960/;	общая (м²): 33; этаж: 7/11; потолки (м): 2,85; год постройки (год): 2015; Станция метро: Фрунзенская; Расстояние до метро (мин): 6; Стоимость (рубли): 40000; Тип квартиры:  квартира-студия; отделка: Отделка — евроремонт; Санузел: совмещённый; Балкон: 1; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Стиральная машина: 1; Холодильник: 1; Можно с детьми: 1; застройщик: Застройщик Лемминкяйнен; Индивидуальный проект: 1; тип здания: Монолитное здание; число квартир: 757; число подъездов: 12; Лифт: 1; Мусоропровод: 1; Охрана/консьерж: 1; Закрытая территория: 1; Подземная парковка: 1	
https://realty.ya.ru/offer/6330279923617954764/;	общая (м²): 41,3; жилая (м²): 29; кухня (м²): 4; этаж: 3/5; год постройки (год): 1961; Станция метро: Звёздная; Расстояние до метро (мин): 6; Стоимость (рубли): 40000; Тип квартиры:  2-комнатная квартира; тип здания: Кирпичное здание; число квартир: 64; число подъездов: 4; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/6364922392075733018/;	общая (м²): 29; этаж: 3/4; год постройки (год): 2003; Станция метро: Василеостровская; Расстояние до метро (мин): 3; Стоимость (рубли): 98000; Тип квартиры:  апартаменты-студия; отделка: Отделка — евроремонт; Санузел: совмещённый; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Без животных: 1; Можно с детьми: 1; Индивидуальный проект: 1; тип здания: Монолитное здание; Лифт: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/6225526135977337460/;	общая (м²): 24; жилая (м²): 21; этаж: 15/18; потолки (м): 2,5; год постройки (год): 2023; Станция метро: Бухарестская; Расстояние до метро (мин): 4; Стоимость (рубли): 42000; Тип квартиры:  апартаменты-студия; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Кондиционер: 1; Встроенная техника: 1; Без животных: 1; Можно с детьми: 1; застройщик: Застройщики TMG group, ЮИТ; Индивидуальный проект: 1; тип здания: Монолитное здание; Лифт: 1; Мусоропровод: 1; Охрана/консьерж: 1; Закрытая территория: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/6330279923590903576/;	общая (м²): 38; кухня (м²): 11; этаж: 20/26; потолки (м): 2,7; год постройки (год): 2011; Станция метро: Парнас; Расстояние до метро (мин): 10; Стоимость (рубли): 35000; Тип квартиры:  1-комнатная квартира; застройщик: Застройщик Главстрой Регионы; Индивидуальный проект: 1; число подъездов: 5; Лифт: 1; Мусоропровод: 1; Охрана/консьерж: 1; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/7118835491596342327/;	общая (м²): 52; этаж: 3/11; потолки (м): 2,7; год постройки (год): 2023; Станция метро: Лиговский Проспект; Расстояние до метро (мин): 6; Стоимость (рубли): 80000; Тип квартиры:  2-комнатная квартира; отделка: Отделка — евроремонт; Санузел: совмещённый; Балкон: 1; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Кондиционер: 1; Без животных: 1; Можно с детьми: 1; застройщик: Застройщик АртИК; Индивидуальный проект: 1; Лифт: 1; Закрытая территория: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/5635565878278949376/;	общая (м²): 25; жилая (м²): 19; этаж: 12/29; потолки (м): 2,7; год постройки (год): 2022; Станция метро: Купчино; Расстояние до метро (мин): 5; Стоимость (рубли): 35000; Тип квартиры:  апартаменты-студия; отделка: Отделка — косметический ремонт; Санузел: совмещённый; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; застройщик: Застройщик PLG; Индивидуальный проект: 1; тип здания: Монолитное здание; Лифт: 1; Мусоропровод: 1; Охрана/консьерж: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/723576450968698975/;	общая (м²): 56; этаж: 1/5; потолки (м): 3,05; год постройки (год): 1959; Станция метро: Удельная; Расстояние до метро (мин): 5; Стоимость (рубли): 52500; Тип квартиры:  2-комнатная квартира; отделка: Отделка — евроремонт; Санузел: раздельный; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Без животных: 1; Можно с детьми: 1; Индивидуальный проект: 1; тип здания: Кирпичное здание; число квартир: 60; число подъездов: 4; Центральное отопление: 1; Открытая парковка: 1	
